time,following_model_probability,minimum_boundary_clearance_exact,total_ADSI,ASPE_star,ASPEdot_star
28.3,0.0,121.3349018214,0.028642717091777882,0.6233016123523026,-0.009314233669532209
28.4,0.0,122.3696759822,0.028662719669674624,0.6223636166175539,-0.009233082263168733
28.5,0.0,123.4045380041,0.02868203826186936,0.6214339225133205,-0.009153188392478587
28.6,0.0,124.4394856949,0.0287006907349159,0.6205123980653727,-0.009074524626602623
28.7,0.0,125.4745169347,0.028718694423153307,0.6195989142871932,-0.008997064291572637
28.8,0.0,126.509629673,0.028736066146797627,0.618693345093612,-0.008920781445552224
28.9,0.0,127.5448219255,0.028752822229285813,0.6177955672165723,-0.008845650855009065
29.0,0.0,128.5800917716,0.028768978514011626,0.616905460124381,-0.008771647971756632
29.1,0.0,129.6154373522,0.028784550380482853,0.6160229059440587,-0.00869874891080923
29.2,0.0,130.6508568667,0.028799552759525886,0.6151477893966625,-0.008626930430078575
